han_ji,chu_im,freq,siann,un, tiau ,old_chu_im,sni_siann,sni_un
崘,lun7,,l,un,7,lun7,柳,君
笨,pun7,,p,un,7,pun7,邊,君
㤓,pun7,,p,un,7,pun7,邊,君
体,pun7,,p,un,7,pun7,邊,君
𥭒,pun7,,p,un,7,pun7,邊,君
郡,kun7,,k,un,7,kun7,求,君
㖥,kun7,,k,un,7,kun7,求,君
遁,tun7,,t,un,7,tun7,地,君
腯,tun7,,t,un,7,tun7,地,君
屯,tun7,,t,un,7,tun7,地,君
偱,tun7,,t,un,7,tun7,地,君
遯,tun7,,t,un,7,tun7,地,君
沌,tun7,,t,un,7,tun7,地,君
鈍,tun7,,t,un,7,tun7,地,君
坉,thun7,,th,un,7,thun7,他,君
銌,tsun7,,ts,un,7,tsun7,曾,君
潤,jun7,,j,un,7,2022/6/7 00:00,入,君
㠈,jun7,,j,un,7,2022/6/7 00:00,入,君
閏,jun7,,j,un,7,2022/6/7 00:00,入,君
媆,jun7,,j,un,7,2022/6/7 00:00,入,君
嫰,jun7,0.01,j,un,7,2022/6/7 00:00,入,君
順,sun7,,s,un,7,sun7,時,君
運,qun7,,q,un,7,un7,英,君
暈,qun7,,q,un,7,un7,英,君
緷,qun7,,q,un,7,un7,英,君
鄆,qun7,,q,un,7,un7,英,君
韻,qun7,,q,un,7,un7,英,君
韵,qun7,0.01,q,un,7,un7,英,君
問,bun7,,b,un,7,bun7,門,君
們,bun7,,b,un,7,bun7,門,君
聞,bun7,0.1,b,un,7,bun7,門,君
悶,bun7,,b,un,7,bun7,門,君
紊,bun7,,b,un,7,bun7,門,君
汶,bun7,,b,un,7,bun7,門,君
謴,gun7,,g,un,7,gun7,語,君
𨥓,gun7,,g,un,7,gun7,語,君
捘,tshun7,,tsh,un,7,tshun7,出,君
混,hun7,,h,un,7,hun7,喜,君
俒,hun7,,h,un,7,hun7,喜,君
分,hun7,,h,un,7,hun7,喜,君
渾,hun7,,h,un,7,hun7,喜,君
溷,hun7,,h,un,7,hun7,喜,君
慁,hun7,,h,un,7,hun7,喜,君
侓,lut8,,l,ut,8,lut8,柳,君
律,lut8,,l,ut,8,lut8,柳,君
𢫫,lut8,,l,ut,8,lut8,柳,君
𢯰,lut8,,l,ut,8,lut8,柳,君
嵂,lut8,,l,ut,8,lut8,柳,君
膟,lut8,,l,ut,8,lut8,柳,君
𥼁,lut8,,l,ut,8,lut8,柳,君
繂,lut8,,l,ut,8,lut8,柳,君
訥,lut8,,l,ut,8,lut8,柳,君
勃,put8,,p,ut,8,put8,邊,君
侼,put8,,p,ut,8,put8,邊,君
浡,put8,,p,ut,8,put8,邊,君
渤,put8,,p,ut,8,put8,邊,君
孛,put8,,p,ut,8,put8,邊,君
郣,put8,,p,ut,8,put8,邊,君
鵓,put8,,p,ut,8,put8,邊,君
艴,put8,,p,ut,8,put8,邊,君
𩗓,put8,,p,ut,8,put8,邊,君
鋍,put8,,p,ut,8,put8,邊,君
馞,put8,,p,ut,8,put8,邊,君
𡋯,put8,,p,ut,8,put8,邊,君
挬,put8,,p,ut,8,put8,邊,君
滑,kut8,,k,ut,8,kut8,求,君
愲,kut8,,k,ut,8,kut8,求,君
汩,kut8,,k,ut,8,kut8,求,君
